Timestamp,Action,Symbol,Side,Price,RSI,ATR,EMA,GridLevel,DistanceMoved,RequiredDistance,LotSize,Drawdown_Percent,Balance,Equity,Notes
2026-03-16 18:10:26,Market Snapshot,EURGBP,,0.86478,65.12,0.00020,0.86352,,,,,,,,
2026-03-16 18:10:27,Initial Entry,EURGBP,SELL,0.86468,65.12,,0.86352,,,,0.05,,,,
2026-03-16 18:11:52,Market Snapshot,EURGBP,,0.86485,65.98,0.00020,0.86352,,,,,,,,
2026-03-16 18:39:24,Market Snapshot,EURGBP,,0.86475,58.75,0.00018,0.86354,,,,,,,,
2026-03-16 18:43:02,Market Snapshot,EURGBP,,0.86476,59.25,0.00019,0.86355,,,,,,,,
2026-03-16 19:08:51,Market Snapshot,EURGBP,,0.86434,41.58,0.00020,0.86356,,,,,,,,
2026-03-16 19:46:38,Initial Entry,EURGBP,BUY,0.86406,34.99,,0.86358,,,,0.05,,,,
2026-03-16 20:08:51,Market Snapshot,EURGBP,,0.86428,45.02,0.00020,0.86359,,,,,,,,
2026-03-16 21:08:51,Market Snapshot,EURGBP,,0.86409,41.55,0.00022,0.86360,,,,,,,,
2026-03-16 22:08:51,Market Snapshot,EURGBP,,0.86413,46.89,0.00023,0.86361,,,,,,,,
2026-03-16 23:08:52,Market Snapshot,EURGBP,,0.86381,46.61,0.00021,0.86362,,,,,,,,
2026-03-17 00:08:52,Market Snapshot,EURGBP,,0.86396,50.19,0.00020,0.86363,,,,,,,,
2026-03-17 01:08:52,Market Snapshot,EURGBP,,0.86404,52.96,0.00016,0.86364,,,,,,,,
2026-03-17 02:08:52,Market Snapshot,EURGBP,,0.86404,49.45,0.00013,0.86365,,,,,,,,
2026-03-17 03:00:57,Initial Entry,EURGBP,BUY,0.86373,33.97,,0.86365,,,,0.05,,,,
2026-03-17 03:08:52,Market Snapshot,EURGBP,,0.86374,32.30,0.00013,0.86365,,,,,,,,
2026-03-17 04:08:52,Market Snapshot,EURGBP,,0.86408,43.09,0.00015,0.86365,,,,,,,,
2026-03-17 05:08:52,Market Snapshot,EURGBP,,0.86405,39.43,0.00011,0.86364,,,,,,,,
2026-03-17 06:08:52,Market Snapshot,EURGBP,,0.86379,49.86,0.00010,0.86364,,,,,,,,
2026-03-17 07:08:52,Market Snapshot,EURGBP,,0.86376,46.57,0.00010,0.86364,,,,,,,,
2026-03-17 08:08:52,Market Snapshot,EURGBP,,0.86404,65.12,0.00012,0.86364,,,,,,,,
2026-03-17 09:08:52,Market Snapshot,EURGBP,,0.86379,44.22,0.00012,0.86365,,,,,,,,
2026-03-17 09:33:28,Market Snapshot,EURGBP,,0.86390,51.16,0.00011,0.86365,,,,,,,,
2026-03-17 10:33:28,Market Snapshot,EURGBP,,0.86410,62.44,0.00010,0.86366,,,,,,,,
2026-03-17 11:33:28,Market Snapshot,EURGBP,,0.86402,49.10,0.00008,0.86366,,,,,,,,
2026-03-17 12:33:28,Market Snapshot,EURGBP,,0.86390,50.98,0.00008,0.86366,,,,,,,,
2026-03-17 13:33:28,Market Snapshot,EURGBP,,0.86384,43.23,0.00013,0.86366,,,,,,,,
2026-03-17 14:33:28,Market Snapshot,EURGBP,,0.86365,36.35,0.00017,0.86366,,,,,,,,
2026-03-17 15:33:28,Market Snapshot,EURGBP,,0.86364,40.01,0.00020,0.86367,,,,,,,,
2026-03-17 16:33:28,Market Snapshot,EURGBP,,0.86389,48.57,0.00023,0.86367,,,,,,,,
